team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
Broncos,DEN,3,HB,554175463,Javonte Williams,6,0,1118,33,13,74.90,32,96.15,1,20,1,185,273,5.78,8.53,22.35
Broncos,DEN,3,WR,554173862,Jerry Jeudy,7,18,392,10,3,34.20,9,93.33,1,61,2,104,222,11.56,24.67,81.83
Browns,CLE,4,TE,554174357,Brian Robbins,1,0,3942,87,7,61.40,26,96.19,2,36,5,74,314,2.85,12.08,15.21
Browns,CLE,4,WR,554175470,D'Angelo Ball,2,0,3357,3,17,108.20,59,91.76,4,70,7,233,844,3.95,14.31,62.08
Browns,CLE,4,WR,554174834,Andrew Moore,3,0,3842,16,17,173.40,80,95.04,4,72,12,490,1182,6.12,14.78,72.72
Browns,CLE,4,HB,554175151,Lorenzo Felix,3,0,3810,24,1,6.50,1,100.00,0,5,1,0,5,0.00,5.00,0.31
Browns,CLE,4,TE,554172590,Silas Short,3,0,3842,82,2,4.30,3,100.00,0,32,0,8,43,2.67,14.33,3.58
Browns,CLE,4,WR,554175604,Travis Frazier,3,0,4067,81,5,31.60,14,75.00,2,26,1,54,256,3.86,18.29,17.58
Browns,CLE,4,HB,554174653,Dameon Pierce,5,0,1891,31,12,54.20,30,100.00,0,75,2,253,393,8.43,13.10,19.28
Browns,CLE,4,TE,554174142,Isaiah Likely,5,2,1807,86,13,107.20,52,96.02,4,58,8,219,662,4.21,12.73,45.35
Browns,CLE,4,FB,554174227,Ben Mason,6,0,1034,38,3,4.20,3,100.00,0,27,0,8,42,2.67,14.00,1.66
Browns,CLE,4,WR,554172966,Nico Collins,6,0,1148,88,13,106.30,47,93.85,5,75,7,193,849,4.11,18.06,71.73
Browns,CLE,4,HB,554172980,Dalvin Cook,9,0,8516,33,5,22.10,7,100.00,0,12,0,27,38,3.86,5.43,2.29
Buccaneers,TB,5,HB,554172653,David Watkins,1,0,3704,25,15,157.90,51,88.38,5,100,6,400,629,7.84,12.33,29.61
