team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
Rams,LAR,23,TE,554174541,Josh Oliver,8,22,9590,84,3,4.70,2,1,0,6,0,0,1,8,0.33,4.00,0.47
Rams,LAR,23,HB,554172563,Saquon Barkley,9,6,8813,8,17,127.00,164,30,1,83,13,9,196,1150,11.53,7.01,67.15
Rams,LAR,23,WR,554174873,Curtis Samuel,10,0,8716,4,3,12.70,1,4,0,5,0,0,2,5,0.67,5.00,0.26
Rams,LAR,23,TE,554173631,Hunter Henry,11,0,8046,82,5,4.80,0,7,0,0,0,0,0,0,0.00,0.00,0.00
Rams,LAR,23,QB,554173616,Taylor Heinicke,11,0,7169,17,1,0.30,5,0,0,5,0,0,5,3,5.00,0.60,1.50
Ravens,BAL,24,TE,554174737,Emmett Goodwin,1,0,3763,88,4,17.50,0,3,1,0,0,0,0,0,0.00,0.00,0.00
Ravens,BAL,24,QB,554173360,Jaden Brown,1,0,3825,15,3,12.26,11,0,0,7,0,0,0,36,0.00,3.27,1.85
Ravens,BAL,24,FB,554174379,Adonis Parks,2,0,4069,45,7,12.10,17,3,0,8,2,0,7,65,1.00,3.82,3.79
Ravens,BAL,24,HB,554174491,Tyrus Richardson,2,0,3761,6,14,80.40,111,16,0,36,9,2,70,498,5.00,4.49,38.46
Ravens,BAL,24,WR,554173150,Demario Douglas,3,0,0,19,1,13.30,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Ravens,BAL,24,TE,554175249,Mitch Norwood,3,0,4086,85,1,-0.30,1,0,0,0,0,0,0,-3,0.00,-3.00,-0.19
Ravens,BAL,24,WR,554173440,Rudy Loud,3,0,3410,5,5,1.60,0,6,2,0,0,0,0,0,0.00,0.00,0.00
Ravens,BAL,24,HB,554174155,Chris Brooks,4,0,0,12,13,43.20,78,11,0,11,4,0,24,237,1.85,3.04,13.08
Ravens,BAL,24,TE,554174064,Zack Kuntz,4,0,2280,87,9,15.70,37,4,1,95,3,1,61,223,6.78,6.03,20.47
Ravens,BAL,24,WR,554173309,Zay Flowers,4,0,2140,4,5,13.50,5,1,0,9,1,0,0,32,0.00,6.40,1.95
Ravens,BAL,24,HB,554175086,Rhamondre Stevenson,6,0,1146,1,11,74.60,144,20,1,40,4,2,123,693,11.18,4.81,63.50
Ravens,BAL,24,WR,554173181,Devin Duvernay,7,0,265,13,7,23.90,9,3,0,51,2,2,12,86,1.71,9.56,4.41
Ravens,BAL,24,WR,554173688,Isaiah Hodgins,7,0,358,11,3,25.80,3,0,0,0,0,0,1,-5,0.33,-1.67,-0.35
Ravens,BAL,24,QB,554173821,Lamar Jackson,9,0,8940,8,13,44.98,42,10,2,16,4,0,24,182,1.85,4.33,14.17
Saints,NO,26,WR,554175617,Chester Hardwick,1,0,3764,89,5,20.70,3,1,1,8,0,0,0,19,0.00,6.33,0.55
